error_id,source,position_type,distribution,params,ks_statistic,ks_pvalue,low_confidence,ks_informative
intent_not_supported,magentic_one,absolute,weibull_min,"1.1378, 0.0000, 48.0838",0.194783,0.330238,True,False
intent_not_supported,magentic_one,absolute,lognorm,"1.0065, 0.0000, 29.3041",0.190338,0.356946,True,False
intent_not_supported,magentic_one,absolute,pareto,"0.5022, 0.0000, 4.0000",0.287649,0.041802,True,False
intent_not_supported,magentic_one,absolute,gamma,"1.2592, 0.0000, 36.3854",0.19666,0.319372,True,False
intent_not_supported,magentic_one,absolute,lomax,"9577552363439.9043, 0.0000, 438826030106679.3750",0.183916,0.397914,True,False
misinterpretation_of_tool_output,magentic_one,absolute,exponential,"2.0000, 12.5652",0.284809,0.038213,True,False
misinterpretation_of_tool_output,magentic_one,absolute,weibull_min,"1.9184, 0.0000, 16.4712",0.152433,0.605652,True,False
misinterpretation_of_tool_output,magentic_one,absolute,lognorm,"0.6086, 0.0000, 12.3742",0.145766,0.659976,True,False
misinterpretation_of_tool_output,magentic_one,absolute,pareto,"0.5487, 0.0000, 2.0000",0.453639,7.6e-05,True,False
misinterpretation_of_tool_output,magentic_one,absolute,gamma,"3.2242, 0.0000, 4.5175",0.13615,0.737672,True,False
misinterpretation_of_tool_output,magentic_one,absolute,lomax,"23050236451505.5312, 0.0000, 335731753962837.7500",0.338108,0.007551,True,False
tool_web_failure,who_and_when_hc,absolute,exponential,"3.0000, 8.2917",0.213826,0.192415,True,False
tool_web_failure,who_and_when_hc,absolute,weibull_min,"1.3957, 0.0000, 12.5394",0.252899,0.077012,True,False
tool_web_failure,who_and_when_hc,absolute,lognorm,"0.6566, 0.0000, 8.8592",0.228402,0.139294,True,False
tool_web_failure,who_and_when_hc,absolute,pareto,"0.9235, 0.0000, 3.0000",0.345778,0.004561,True,False
tool_web_failure,who_and_when_hc,absolute,gamma,"2.2132, 0.0000, 5.1020",0.266649,0.053728,True,False
tool_web_failure,who_and_when_hc,absolute,lomax,"8532535794604.1113, 0.0000, 96346549623922.0312",0.257611,0.068224,True,False
tool_web_failure,who_and_when_hc,normalized,exponential,"0.0448, 0.3409",0.128589,0.775992,True,False
tool_web_failure,who_and_when_hc,normalized,weibull_min,"1.0851, 0.0000, 0.3991",0.124048,0.810604,True,False
tool_web_failure,who_and_when_hc,normalized,lognorm,"0.9811, 0.0000, 0.2439",0.088168,0.983908,True,False
tool_web_failure,who_and_when_hc,normalized,beta,"0.7309, 3.9580, 0.0448, 2.0475",0.097248,0.960533,True,False
tool_web_failure,who_and_when_hc,normalized,uniform,"0.0448, 1.5552",0.476205,1.6e-05,True,False
tool_web_failure,who_and_when_hc,normalized,pareto,"0.5900, 0.0000, 0.0448",0.2366,0.115031,True,False
tool_web_failure,who_and_when_hc,normalized,gamma,"1.2310, 0.0000, 0.3133",0.132017,0.748832,True,False
tool_web_failure,who_and_when_hc,normalized,lomax,"2229567878582.9639, 0.0000, 859833299239.7168",0.109619,0.905276,True,False
